bed,bath,cube,home,price,area,address
2 beds,2 baths,,Apartment,1750,Dublin 22," Grangeview Place , Clondalkin, Dublin 22"
2 beds,1 bath,,Apartment,1600,Dublin 10," Cedarbrook Way, Cherry Orchard, Dublin 10"
3 beds,3 baths,,Semi-Detached,2200,Dublin," Crosforge, Saggart, Dublin"
3 beds,2 baths,,Apartment,2163,Co. Dublin," Shackleton Mill, CODUBLIN, Lucan, Co. Dublin"
2 beds,2 baths,,Apartment,1875,Dublin 24," Deerpark Road , Tallaght, Dublin 24"
4 beds,4 baths,,Detached,4950,Dublin 16," Dunkeld, Scholarstown Road, Rathfarnham, Dublin 16"
3 beds,2 baths,,Terraced House,1850,Dublin 22," Castlegrange Square, Clondalkin, Dublin 22"
2 beds,2 baths,,Apartment,1635,Dublin," Eaton Terrace, Rathcoole, Dublin"
2 beds,2 baths,,Apartment,1550,Dublin 22," Aras na Cluaine, Clondalkin, Dublin 22"
3 beds,1 bath,,Terraced House,1800,Dublin 22," Monksfield Meadows, Clondalkin, Dublin 22"
4 beds,2 baths,,Terraced House,3750,Dublin 8," 258 South Circular Road, South Circular Road, Dublin 8"
5 beds,5 baths,,,15000,Dublin 4," 17 Raglan Road, Ballsbridge, Dublin 4"
2 beds,2 baths,,Apartment,1875,Dublin 22," Weaver Court, Clondalkin, Dublin 22"
2 beds,2 baths,,Terraced House,1800,Dublin 22," Riverside, Clondalkin, Dublin 22"
2 beds,3 baths,93m 2,Apartment,2155,Co. Dublin," Neptune Apartments, CO., Dun Laoghaire, Co. Dublin"
1 bed,,,Apartment,262,Dublin," Bronze Ensuite at The Loom, Cork St, The Liberties, Dublin 8, Dublin"
3 beds,2 baths,,Apartment,2400,Co. Dublin," Occu Abbot Court, Cualanor, Glenageary Road Upper, Dun Laoghaire, Co. Dublin"
1 bed,1 bath,,Apartment,251,Dublin," Student Accommodation at Beckett House, Gardiner St, Dublin 1, Dublin"
1 bed,1 bath,,Apartment,256,Dublin," Student Accommodation at Binary Hub, Bonham Street, Dublin 8, Dublin"
1 bed,1 bath,,Apartment,POA,Dublin 1," Student Accommodation at 107 Dorset Street Upper, Dorset Street, Dublin 1"
2 beds,1 bath,,Apartment,1950,Dublin 8," Chesterfield, Riverpark Apartments,, Islandbridge, Dublin 8"
3 beds,4 baths,,Terraced House,2245,Dublin 14,"  Woodside, Dodder Park Road, Rathfarnham, Dublin 14"
5 beds,7 baths,,Semi-Detached,15000,Dublin 4," 3 Clyde Road, Ballsbridge, Dublin 4"
2 beds,2 baths,,Apartment,2200,Dublin," Linden Square, Blackrock, Dublin"
2 beds,1 bath,,Semi-Detached,2379,Dublin," 4 Mc Cabe Villas, Booterstown, Dublin"
2 beds,2 baths,,Apartment,1850,Dublin 22," Rathgael, Clondalkin, Dublin 22"
2 beds,1 bath,,Apartment,1900,County Dublin," Millrace Avenue, Saggart, County Dublin"
4 beds,2 baths,289m 2,Terraced House,11000,Dublin 6," Palmerston Road , Rathmines, Dublin 6"
2 beds,1 bath,,Apartment,1635,Dublin 10," Cedarbrook Avenue, Cherry Orchard, Dublin 10"
2 beds,2 baths,,Apartment,2049,Dublin 6W," 81 Bushy Park House, Terenure, Dublin 6W"
2 beds,1 bath,,Apartment,2200,Dublin 6," 102 Rathgar Road, Rathgar, Dublin 6"
2 beds,2 baths,,Apartment,3200,Dublin 4," Shrewsbury Park, Ballsbridge, Dublin 4, Ballsbridge, Dublin 4"
3 beds,2 baths,,Apartment,3850,Dublin 4," The Pines, Herbert Park, Ballsbridge, Dublin 4, Ballsbridge, Dublin 4"
1 bed,1 bath,,Apartment,1990,Dublin 4," The Oaks, Herbert Park Lane, Ballsbridge, Dublin 4"
2 beds,1 bath,,Apartment,2100,Dublin 4," Brendan House. Brendan Road,  Donnybrook, Donnybrook,   Dublin 4"
1 bed,1 bath,,Apartment,1700,Dublin," Clancy Quay, South Circular Road, Islandbridge, Dublin 8, Dublin 8, Dublin"
1 bed,1 bath,,Apartment,2150,Dublin," Sandford Lodge, Ranelagh, Dublin 6, Dublin 6, Dublin"
2 beds,2 baths,,Apartment,2700,Dublin," The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin 4, Dublin"
2 beds,2 baths,,Apartment,2700,Dublin," The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin"
2 beds,2 baths,,Apartment,2250,Dublin," The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin 4, Dublin"
2 beds,2 baths,,Apartment,2450,Dublin," The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin"
2 beds,2 baths,,Apartment,1875,Dublin 22," Highgrove, Mount Talbot, Clondalkin, Dublin 22"
2 beds,2 baths,,Apartment,2600,Dublin 4," Apartment The Pines, Herbert Park Lane, Dublin 4, Ballsbridge, Dublin 4"
5 beds,3 baths,,House,10000,Dublin 4," Leeson Street Upper, Dublin 4, Donnybrook, Dublin 4"
2 beds,2 baths,,Apartment,1800,Dublin 22," Highgrove, Mount Talbot, Clondalkin, Dublin 22"
4 beds,,,,2700,Dublin 3," 4 Seafield Downs, Clontarf, Dublin 3"
3 beds,,,,2600,Dublin 5," 44 Furry Park Court, Howth Road, Killester, Dublin 5"
1 bed,1 bath,45m 2,Terraced House,1900,Dublin 7," 2 Church Terrace, Smithfield, Dublin 7"
3 beds,3 baths,,Apartment,4700,Dublin 4," Lansdowne Wood, Ballsbridge, Dublin 4"
4 beds,3 baths,,Semi-Detached,2956,Dublin 16," 12 Castlebrook, Dundrum, Dublin 16"
2 beds,1 bath,,Apartment,1900,Dublin," St James Wood, South Circular Road, South Circular Road, Dublin 8, Dublin 8, Dublin"
1 bed,1 bath,,Apartment,2000,Dublin 4," The Pines, Herbert Park Lane, Ballsbridge, Dublin 4, Ballsbridge, Dublin 4"
5 beds,4 baths,,House,6300,Dublin," Elgin House, Malahide Road, Malahide, Dublin"
2 beds,2 baths,,Apartment,1850,Co. Dublin," Occu Cedar Place, Ridgewood, CO.DUB, Swords, Co. Dublin"
1 bed,1 bath,,Apartment,1500,Dublin 3," Apartment 3, Kingston Lodge, Drumcondra, Dublin 3"
2 beds,1 bath,75m 2,Apartment,1850,Dublin 8," Block B Bellevue, Islandbridge, Dublin 8"
3 beds,2 baths,,Apartment,2259,Co. Dublin," Juliet Square, St. Edmunds, Lucan, Co. Dublin"
2 beds,2 baths,95m 2,Apartment,2212,Co. Dublin," Occu Fairway, Cualanor, Upper Glenageary Road, CODUBLIN, Dun Laoghaire, Co. Dublin"
2 beds,2 baths,117m 2,Apartment,1950,Co. Dublin," Adamstown Boulevard, CO.DUB, Adamstown, Co. Dublin"
3 beds,2 baths,135m 2,Apartment,2275,Co. Dublin," Adamstown Boulevard, CO., Adamstown, Co. Dublin"
1 bed,,,Studio,900,Dublin," Aylmer Road, Newcastle, Dublin"
2 beds,2 baths,,Apartment,1922,Co. Dublin," Shackleton Mill, Shackleton Park, Lucan, Co. Dublin"
2 beds,1 bath,,Apartment,1502,Dublin," Rochford Park, Kill, Dublin West, Dublin"
3 beds,3 baths,,Apartment,2690,Dublin 4," 72 South Lotts Road, Ringsend, Dublin 4"
2 beds,2 baths,,Apartment,2400,D06R892," 54 Milltown Hall, Milltown, Dublin 6, D06R892"
1 bed,1 bath,45m 2,Apartment,1695,Dublin 14," Wyckham Place , Dundrum, Dublin 14"
2 beds,2 baths,,Apartment,1850,Dublin 4," Apt 2 @ No. 49 Pembroke Road, Ballsbridge, Dublin 4"
1 bed,1 bath,,Apartment,1650,Dublin 4," Fitzwilliam Quay, Ballsbridge, Dublin 4"
3 beds,2 baths,,,3250,Dublin," Occu Strand View, Howth Road, Ballycoolin, Dublin"
2 beds,2 baths,,Apartment,2351,Dublin," Occu Strand View, Howth Road, Dublin"
2 beds,2 baths,,Apartment,1900,Dublin 18," The Oaks, Parkview, Stepaside, Dublin 18"
2 beds,3 baths,,Apartment,2350,Dublin 15," Beech Lodge, Farmleigh Woods, Castleknock, Dublin 15"
,,,,POA,Dublin," 45, O'connell Street Lower, Dublin 1, Dublin"
2 beds,2 baths,,Apartment,3300,Dublin 4," Apartment 12, XIX Pembroke Road, Dublin 4 , Ballsbridge, Dublin 4"
1 bed,1 bath,14m 2,Apartment,249,Dublin 7," Lower Grangegorman Road , Smithfield, Dublin 7"
1 bed,1 bath,13.6m 2,Apartment,230,Dublin 1," Mayor Street Upper, North Wall, Dublin 1"
3 beds,1 bath,,Apartment,2000,County Dublin," Belfry Green, Citywest, Citywest, County Dublin"
2 beds,2 baths,,Apartment,2300,Harold's Cross," Mount Argus Apartments, Mount Argus Road, Dublin 6W, Harold's Cross"
3 beds,2 baths,,Apartment,2950,Dublin 1," Castleforbes Square, Castleforbes Road, IFSC, Dublin 1"
2 beds,3 baths,,Apartment,2150,Co. Dublin," Neptune by havitat, Honeypark, Co. Dublin CO., Dun Laoghaire, Co. Dublin"
2 beds,1 bath,,Apartment,1850,Dublin," Custom Hall, Gardiner Street, Dublin 1, Dublin"
3 beds,3 baths,,,2125,Hollystown," Hollywoodrath, Dublin 15, Hollystown"
1 bed,1 bath,,Apartment,2200,Dublin," Baggot Street Lower, Dublin 2, Dublin"
1 bed,1 bath,,Apartment,1650,Dublin 9," Swiss Cottage by havitat, Co. Dublin CO.DUB, Santry, Dublin 9"
2 beds,2 baths,,Apartment,1775,Dublin 9," Swiss Cottage by havitat, Co. Dublin CO.DUB, Santry, Dublin 9"
2 beds,1 bath,,Apartment,1950,Dublin 1," Spencer House, Custom House Square, IFSC, Dublin 1"
1 bed,1 bath,,Apartment,1447,Dublin 1," Spencer House, Custom House Square, IFSC, Dublin 1"
3 beds,2 baths,,,2350,Co. Dublin," Gandon Park, Co. Dublin CO.DUBLI, Lucan, Co. Dublin"
1 bed,1 bath,,Apartment,1450,Dublin," Bachelors Walk, Dublin 1, Dublin"
2 beds,2 baths,,Apartment,1852,Dublin 7," East Arran Street, Smithfield, Dublin 7"
1 bed,1 bath,,Apartment,1609,Dublin 7," Smithfield Market, Smithfield, Dublin 7"
2 beds,2 baths,,Apartment,2950,Dublin 6," Orwell Gate, Marianella, Rathgar, Dublin 6"
3 beds,3 baths,,Apartment,3000,Co. Dublin," Fairway, Cualanor, Upper Glenageary Road, CODUBLIN, Dun Laoghaire, Co. Dublin"
3 beds,2 baths,,,2400,Co. Dublin," St.Edmunds Grove, St Edmunds, Co. Dublin CODUBLIN, Lucan, Co. Dublin"
3 beds,2 baths,,Apartment,2495,Dublin," Merrion Court, Ailesbury Road, Dublin 4, Dublin"
2 beds,2 baths,,Apartment,3100,Dublin," The Pines, Herbert Park Lane Apartments, Ballsbridge, Dublin 4, Dublin 4, Dublin"
,,,,POA,Dublin," Sherrard Street Lower, Dublin 1, Dublin"
2 beds,1 bath,,Terraced House,2122,Dublin 6," 4 Castlewood Terrace, Rathmines,   Dublin 6"
7 beds,7 baths,12m 2,Apartment,225,Dublin 11," Ballymun Road, Ballymun, Dublin 11"
1 bed,1 bath,6m 2,Apartment,1472,Cabinteely," Abbey Glen by havitat, Johnstown Road, Dublin 18, Cabinteely"
,,,Apartment,POA,Dublin," Sean McDermott Street Apartments, Sean McDermott Street Lower, Dublin"
,2 baths,1300ft 2,,3000,Dublin 12," 36 Parnell Road, Harold's Cross - D12,   Dublin 12"
2 beds,1 bath,,Apartment,2400,Co. Dublin," 6 Turnstone, Thornwood, Booterstown, Co. Dublin"
2 beds,2 baths,,Penthouse,4175,Dublin 4," Herbert Park Lane, Ballsbridge, Dublin 4"
2 beds,1 bath,,Apartment,2022,Co. Dublin," 95 Beechwood Court, Stillorgan, Co. Dublin"
1 bed,1 bath,,Apartment,1360.12,Dublin 6," Belgrave Court, Mount pleasant Avenue Upper, Ranelagh, Dublin 6"
2 beds,2 baths,,Apartment,2310,Co. Dublin," 28 The Abalone, The Grange, Stillorgan, Co. Dublin"
3 beds,2 baths,171m 2,Apartment,3500,Dublin 18," Fully Refurbished/Furnished TRIPLEX PENTHOUSE with THREE Balconies, Beacon South Quarter, Sandyford, Dublin 18, Sandyford, Dublin 18"
4 beds,,,Semi-Detached,2940,Dublin 18," Foxrock Mount, Dublin 18"
2 beds,1 bath,,Apartment,2200,Dublin 4," 11 Eastmoreland Court, Ballsbridge, Dublin 4"
6 beds,6 baths,,,7500,Co. Dublin," Willow Brook, Saval Park Road, County Dublin, Dalkey, Co. Dublin"
2 beds,2 baths,,Apartment,2100,Dublin 2," 13 Eastmoreland Court, Baggot Street, Ballsbridge, Dublin 2"
4 beds,3 baths,,Terraced House,5500,Dublin," Lower Baggot Street, Dublin 2, Dublin"
1 bed,1 bath,,Apartment,1850,Dublin 4," 84 Leeson Street Upper, Ballsbridge, Dublin 4"
4 beds,5 baths,,Terraced House,9750,Dublin 4," 41 Wellington Road, Ballsbridge, Dublin 4"
3 beds,3 baths,,,2850,Dublin 4," 96 Shrewsbury, Ballsbridge, Dublin 4"
2 beds,1 bath,,Apartment,2900,Donnybrook," 14 Dunluce, Anglesea Road, Dublin 4, Donnybrook"
2 beds,2 baths,,Apartment,1950,Dublin 20," 122 Ivy Exchange, Parnell Street, Dublin 1, Palmerstown, Dublin 20"
2 beds,1 bath,,Apartment,2150,Dublin 4," 86 Shrewsbury, Ballsbridge, Dublin 4"
3 beds,1 bath,,Terraced House,2390,Dublin 3," 38 The Bramblings, Killester, Dublin 5, Clontarf, Dublin 3"
3 beds,1 bath,,Terraced House,2600,Dublin," The Bramblings, Dublin 3, Dublin"
2 beds,2 baths,,Apartment,2200,Dublin 4," The William Bligh, The Gasworks, Grand Canal Dk, Dublin 4"
2 beds,2 baths,,Semi-Detached,2600,Dublin 6W," 14 College Park, Terenure, Dublin 6W"
3 beds,2 baths,,Terraced House,2346,Co. Dublin," Shackleton Heath, Lucan, West Co. Dublin, Co. Dublin"
3 beds,2 baths,150m 2,Terraced House,3175,Dublin 6W," 39 Kimmage Rd Lower, Harold's Cross, Dublin 6W"
1 bed,1 bath,,Apartment,230,Dublin 1," Mayor Street, IFSC, Dublin 1"
1 bed,1 bath,,Apartment,240,Dublin 7," Grangegorman Lower, Smithfield, Dublin 7"
1 bed,1 bath,,Apartment,240,Dublin 1," Summerhill, Mountjoy Square, Dublin 1"
3 beds,2 baths,95m 2,Apartment,2595,Leopardstown," Elmfield by havitat, Ballyogan Road, Dublin 18, Leopardstown"
2 beds,2 baths,,Apartment,2295,Cabinteely," Abbey Glen by Havitat, Johnstown Road, Dublin 18, Cabinteely"
2 beds,1 bath,,Penthouse,3600,Dublin 2," Penthouse, 13 St. Stephen's Green, South City Centre,   Dublin 2"
5 beds,,,,10000,Dublin 4," 85 Nutley Lane, Donnybrook, Dublin 4"
4 beds,,,,4000,Dublin 14," 34 Roebuck Downs, Clonskeagh, Dublin 14"
1 bed,1 bath,,Apartment,220,Dublin," Student Accommodation at Montrose,  Stillorgan Rd, Trimblestown, Dublin 4, Dublin"
3 beds,2 baths,85m 2,Apartment,1883,Dublin 5," The Watermill, Block 4, Raheny, Dublin 5"
2 beds,1 bath,,Apartment,1750,Dublin 20," The Steeples, Chapelizod, Dublin 20"
2 beds,2 baths,,Apartment,2573,Harold's Cross," Mount Argus Apartments, Mount Argus Road, Dublin 6W, Harold's Cross"
1 bed,1 bath,37m 2,Apartment,1700,Dublin," Crosbie House, Northbrook Avenue, Dublin 6, Dublin"
3 beds,2 baths,125m 2,Penthouse,4500,Dublin 2," The Penthouse, Hanover Dock, Grand Canal Dk, Dublin 2"
4 beds,4 baths,325m 2,Penthouse,7600,Dublin 4," Ballsbridge Wood, Ballsbridge, Dublin 4"
3 beds,2 baths,,,2364,County Dublin," Occu Gandon Park, CO.DUBLI, Lucan, County Dublin"
2 beds,2 baths,,Apartment,2100,Dublin 9," Two Bed Penthouse, Bridgefield, Northwood, Santry, Dublin 9"
,,,Apartment,POA,Dublin 6," Kenilworth Road, Rathmines, Dublin 6"
,,,Apartment,POA,Dublin 4," Cranford Court, Donnybrook, Dublin 4"
,,,Apartment,POA,Dublin 8," Christchurch View, Christchurch, Dublin 8"
,,,House,POA,Dublin 6," Leicester Avenue, Rathgar, Dublin 6"
,,,Apartment,POA,Dublin," Bachelors walk, Dublin 1, Dublin"
,,,Apartment,POA,Dublin 8," Bowbridge Place, Kilmainham, Dublin 8"
3 beds,1 bath,85m 2,Terraced House,2600,Dublin," 2 Sheepmoor Close, Blanchardstown, Dublin"
2 beds,1 bath,,Apartment,4200,Dublin," Castleforbes Square, Castleforbes Rd, North Dock, Dublin 1, Dublin"
1 bed,1 bath,,Apartment,3800,Dublin," Longboat Quay, Grand Canal Dock Sir John Rogerson's Quay, Dublin 1, Dublin"
1 bed,1 bath,,Apartment,1900,Dublin," Seville Pl, North Dock, Dublin 1, Dublin"
1 bed,1 bath,,Apartment,1500,Dublin," Cherrywood Rd, Dublin, Dublin 18, Dublin"
1 bed,1 bath,,Apartment,1191,Dublin," Whitworth Rd, Wigan Rd, Dublin 9, Dublin"
2 beds,2 baths,,Apartment,1975,Dublin 11," 43 Riverbank Hall, Addison Avenue, Glasnevin, Dublin 11"
3 beds,1 bath,,Bungalow,2200,Dublin 24," Castlekelly, Glenasmole, Glenasmole,   Dublin 24"
2 beds,2 baths,100m 2,Apartment,3300,Dublin 6," Milltown Hall, Mount Saint Annes, Milltown, Dublin 6"
5 beds,5 baths,2300ft 2,Detached,7000,Dublin 4," 126 Merrion Road, Ballsbridge, Dublin 4"
1 bed,1 bath,,Apartment,1500,Dublin," 18 Temple court Hogan place Dublin , Dublin 2, Dublin"
1 bed,1 bath,,Apartment,1568,Dublin 9," Apt. 5, Mobhi Court, Saint Mobhi Boithirin, Glasnevin, Dublin 9"
3 beds,,,Bungalow,2665,Dublin 4," Shrewsbury, Dublin 4"
3 beds,2 baths,,Semi-Detached,2150,Dublin," 55 THE GREEN, Dublin 9, Dublin"
1 bed,1 bath,,Apartment,630,Dublin 1," Clarion Quay, IFSC, Dublin 1"
2 beds,3 baths,1710ft 2,Apartment,6000,Dublin 4," Intercontinental Hotel, Ballsbridge, Dublin 4"
1 bed,1 bath,,Apartment,1469,Dublin," Westland Square, Sandwith Street Lower, Dublin 2, Dublin"
,1 bath,63m 2,Apartment,2500,Dublin," Shrewsbury, Shrewsbury Park, Ballsbridge, Dublin 4, Dublin"
